Lat and Long,Locker ID,Locker Name,Type
"1.29175, 103.79296",SG000002,Grab OneNorth Food locker,Commercial office building
"1.3421398956046862, 103.96414592019806",SG000004,SUTD (Blk 57) Parcel Collection Point (Food Locker),University/Schools
"1.3252736, 103.8726764",SG000007,"Main Lobby, SP Group Building GrabFood Locker (SP Group)",Commercial office building
"1.2915161958698036, 103.77574059755193",SG000012,Sheares Hall NUS GrabFood Locker,University/Schools
"1.2918556047386147, 103.77467062366213",SG000011,Kent Ridge Hall GrabFood Locker,University/Schools
"1.3451346710891556, 103.9355273257296",SG000006,"GrabFood Locker, Temasek Polytechnic (East Wing Blk 1A)",University/Schools
"1.31056, 103.84746",SG000005,"GrabFood Locker, KKH Women’s Tower B1",Hospital
"1.3434734616895827, 103.94168403417642",SG000014,Yo HA Tampines GrabFood Locker,Commercial office building
"1.33397385662718, 103.74543720927994",SG000013,NTFGH Tower GrabFood Locker,Hospital
"1.3210704100225947, 103.8462317270159",SG000015,Tan Tock Seng Hospital B1 GrabFood Locker,Hospital
"1.3232169467030301, 103.84662869396264",SG000010,TTSH Integrated Care Hub Grabfood Locker,Hospital
"1.3819388971607196, 103.88374276326645",SG000048,IMH GrabFood Locker,Hospital
"1.293748855089805, 103.78341940692698",SG000016,NUH GrabFood Locker,Hospital
"1.2799816536476223, 103.83535761916224",SG000025,"GrabFood Locker, Blk 4 SGH",Hospital
"1.341067670303275, 103.94915314956955",SG000018,"GrabFood Locker, CGH",Hospital
"1.395752597714859, 103.8929892977819",SG000021,SKH GrabFood Locker,Hospital
"1.275111, 103.79925",SG000024,Mapletree Business City GrabFood Locker,Commercial office building
"1.2661858249429627, 103.82376326622236",SG000023,Travelodge GrabFood Locker,Hotel
"1.3194994525809194, 103.75390754747973",SG000026,Whistler Grand GrabFood Locker,Residence building
"1.342895187355576, 103.71836978745797",SG000019,Caspian GrabFood Locker,Residence building
"1.3272435439915469, 103.90692116405637",SG000020,euHabitat GrabFood Locker,Residence building
"1.3812836482021331, 103.90264168058447",SG000022,Riversound Residence GrabFood Locker,Residence building
"1.4443203888625107, 103.81986210785803",SG000039,SkyPark Residences GrabFood Locker,Residence building
"1.3926021687657006, 103.87937227252328",SG000032,H2O Residences GrabFood Locker,Residence building
"1.376029306567344, 103.84692069214647",SG000017,Grandeur 8 GrabFood Locker,Residence building
"1.4030529146729824, 103.742610647721",SG000044,Kranji Camp III GrabFood Locker,Others
"1.399100915883231, 103.8911710295785",SG000033,Bellewaters GrabFood Locker,Residence building
"1.3017247110916408, 103.89842785937552",SG000030,One Amber GrabFood Locker,Residence building
"1.3756159308038363, 103.90266139656705",SG000034,Boathouse Residences GrabFood Locker,Residence building
"1.3522732418250638, 103.85071886026238",SG000041,Sky Vue GrabFood Locker,Residence building
"1.2951984743262237, 103.80645062184685",SG000036,Commonwealth Towers GrabFood Locker,Residence building
"1.3386725359513727, 103.9190970679817",SG000035,Archipelago GrabFood Locker,Residence building
"1.3082410077975994, 103.77360151106602",SG000028,Residential College 4 GrabFood Locker,University/Schools
"1.307646330127327, 103.77314945993616",SG000029,College of Alice & Peter Tan GrabFood Locker,University/Schools
"1.319617964747989, 103.75251816995362",SG000031,Twin Vew GrabFood Locker,Residence building
"1.3008744193783386, 103.78808845301546",SG000027,Lyf One-North Singapore GrabFood Locker,Hotel
"1.4128475848730648, 103.83557991581378",SG000040,Orchid Park GrabFood Locker,Residence building
"1.3428296964441082, 103.88151294788388",SG000037,Bartley Residences GrabFood Locker,Residence building
"1.4438018250683171, 103.81032592373535",SG000042,Northwave GrabFood Locker,Residence building
"1.4254321479598147, 103.8248273390971",SG000038,Euphony Gardens GrabFood Locker,Residence building
"1.3875478037070443, 103.74546477381938",SG000051,Northvale GrabFood Locker,Residence building
"1.371477835598969, 103.8996924029843",SG000043,Riverfront Residences GrabFood Locker,Residence building
"1.399023078973879, 103.91316076505244",SG000053,The Amore GrabFood Locker,Residence building
